time,side,price,quantity
34287853139569,HitBid,5851000,264
34287853328823,LiftAsk,5851000,5
34287904018392,HitBid,5851000,200
34287910694642,HitBid,5851000,95
34287934620813,HitBid,5850500,1
34287934620813,HitBid,5850500,100
34287940574375,HitBid,5850400,35
34287940574375,HitBid,5850100,420
34287941252974,HitBid,5850100,80
34287941252974,HitBid,5850000,4
34287941252974,HitBid,5850000,3
34287941252974,HitBid,5850000,5
34287941252974,HitBid,5850000,8
34288260860036,HitBid,5850000,5
34288260860036,HitBid,5850000,65
34288260860036,HitBid,5850000,6
34288260860036,HitBid,5850000,24
34288337563927,HitBid,5850000,1
34288337563927,HitBid,5850000,6
34288337563927,HitBid,5850000,8
34288337563927,HitBid,5850000,10
34288337563927,HitBid,5850000,175
34288394703981,HitBid,5850000,125
34288394703981,HitBid,5850000,40
34288394703981,HitBid,5850000,135
34288725140581,HitBid,5850000,665
34288725140581,HitBid,5850000,2087
34288725218205,HitBid,5850000,1262
34288725218205,HitBid,5850000,50
34288725218205,HitBid,5850000,66
34288725218205,HitBid,5850000,6
34288725218205,HitBid,5850000,10
34288725218205,HitBid,5850000,5
34288725218205,HitBid,5850000,3
34288725218205,HitBid,5850000,10
34288725218205,HitBid,5850000,5
34288725218205,HitBid,5850000,5
34288725218205,HitBid,5850000,50
34288725439872,LiftAsk,5850100,50
34288725439872,LiftAsk,5850100,50
34288725479499,HitBid,5849900,2
34288725677485,LiftAsk,5849700,5
34288725677485,LiftAsk,5850100,45
34288725677485,LiftAsk,5850100,5
34288725677485,LiftAsk,5850100,45
34288726481689,HitBid,5849500,23
34288726568751,HitBid,5849500,23
34288726584723,HitBid,5849500,4
34288733526741,HitBid,5849000,50
34290611030563,HitBid,5848000,20
34290611600352,HitBid,5847100,5
34291033125417,HitBid,5846900,10
34297635945497,HitBid,5846400,20
34297635945497,HitBid,5846300,5
34297635945497,HitBid,5846300,46
34297639785560,HitBid,5846300,54
34297639785560,HitBid,5846200,5
34297639789490,HitBid,5846100,5
34305098815535,LiftAsk,5846500,2
34305098815535,LiftAsk,5846500,71
34305098815535,LiftAsk,5846500,29
34305100266030,LiftAsk,5846500,100
34305100919550,LiftAsk,5846500,44
34305114148562,LiftAsk,5846500,27
34305114148562,LiftAsk,5846500,27
34305114148562,LiftAsk,5849300,46
34305114954126,LiftAsk,5849300,100
34305114954126,LiftAsk,5849300,54
34305114954126,LiftAsk,5849300,13
34305114954126,LiftAsk,5849300,33
34305115051218,LiftAsk,5849300,54
34305115051218,LiftAsk,5849400,2
34305115071463,LiftAsk,5849400,20
34311311165157,LiftAsk,5849400,20
34311311241038,LiftAsk,5849400,60
34311311241038,LiftAsk,5850000,40
34315663381846,LiftAsk,5850000,2
34315663381846,LiftAsk,5850000,58
34315663381846,LiftAsk,5850000,20
34315663381846,LiftAsk,5850000,22
34315667748259,LiftAsk,5850000,78
34315667748259,LiftAsk,5850100,5
34315667748259,LiftAsk,5850100,15
34316777169467,LiftAsk,5850100,2
34318071429247,LiftAsk,5850100,18
34318142390483,LiftAsk,5850100,15
34318142390483,LiftAsk,5850400,67
34318200932155,LiftAsk,5850400,33
34318200932155,LiftAsk,5850400,67
34320346317413,LiftAsk,5850400,33
34320346317413,LiftAsk,5850400,14
34320529611448,LiftAsk,5850400,53
34323482517061,LiftAsk,5850400,33
34323482517061,LiftAsk,5850500,67
34328074921686,LiftAsk,5850500,33
34328074921686,LiftAsk,5850800,20
34328122122394,LiftAsk,5851000,5
34329828515159,LiftAsk,5851200,2
34329828515159,LiftAsk,5851300,2
34329828515159,LiftAsk,5851400,96
34329828515159,LiftAsk,5851400,4
34329828515159,LiftAsk,5851600,20
34329829690692,LiftAsk,5851600,76
34329829827923,LiftAsk,5851600,4
34329829827923,LiftAsk,5851600,20
34329830848204,LiftAsk,5851600,80
34329830848204,LiftAsk,5852200,20
34329832713247,LiftAsk,5852200,76
34329834202692,LiftAsk,5852200,4
34329834202692,LiftAsk,5852500,96
34329870585156,LiftAsk,5852500,4
34329870585156,LiftAsk,5852600,96
34329870682795,LiftAsk,5852600,4
34329870682795,LiftAsk,5852600,96
34329873376278,LiftAsk,5852600,4
34329873376278,LiftAsk,5852700,96
34330670344569,HitBid,5851700,100
34335647888771,HitBid,5850400,100
34335650416598,HitBid,5850100,20
34335652877945,HitBid,5850000,409
34335652990590,HitBid,5850000,200
34335652999156,HitBid,5850000,200
34335653106168,HitBid,5850000,191
34336522291682,HitBid,5850100,147
34337209183382,HitBid,5848800,180
34337277532394,HitBid,5848800,100
34338794834055,HitBid,5848800,20
34338794834055,HitBid,5848500,74
34340511210999,LiftAsk,5850500,15
34341265457199,LiftAsk,5850000,13
34360125785042,HitBid,5848600,20
34360125785042,HitBid,5848600,100
34360180572245,HitBid,5848500,26
34360185526606,HitBid,5848200,154
34360185621411,HitBid,5848200,146
34364563584679,LiftAsk,5850000,50
34364563719906,LiftAsk,5849900,1
34364564377687,HitBid,5849700,100
34368744255126,HitBid,5850000,100
34368769351188,HitBid,5849600,26
34372228949873,HitBid,5850100,50
34375004256574,LiftAsk,5850900,42
34375019670433,LiftAsk,5850900,58
34375819492677,LiftAsk,5852000,100
34376479871810,LiftAsk,5852700,100
34377044937638,LiftAsk,5852700,4
34377044937638,LiftAsk,5852700,96
34377949035477,LiftAsk,5852700,4
34377949035477,LiftAsk,5852700,41
34377949799561,LiftAsk,5852700,59
34377949799561,LiftAsk,5852700,41
34377950393616,LiftAsk,5852700,59
34377950393616,LiftAsk,5852700,41
34377951635432,LiftAsk,5852700,59
34379284312211,LiftAsk,5853300,68
34379284428177,LiftAsk,5853300,32
34379284428177,LiftAsk,5853300,45
34379284428177,LiftAsk,5854300,23
34381159294849,LiftAsk,5854300,45
34381160041281,LiftAsk,5854400,100
34381210237959,HitBid,5856100,3
34381210251703,HitBid,5856100,97
34381210574876,LiftAsk,5856300,31
34381211035096,HitBid,5856200,100
34383141826573,LiftAsk,5856400,100
34383272977873,LiftAsk,5855700,100
34383345968834,LiftAsk,5855700,100
34383346468092,HitBid,5855300,100
34383347222970,HitBid,5855200,100
34383531685144,HitBid,5855200,75
34383532136481,HitBid,5855000,25
34383532235892,HitBid,5855000,73
34383532235892,HitBid,5855000,100
34386621201169,LiftAsk,5855900,18
34389608315805,HitBid,5854100,1
34389608412363,HitBid,5854100,177
34389641486246,HitBid,5854500,100
34395843737543,LiftAsk,5856400,27
34395844336781,LiftAsk,5856400,100
34395849182359,LiftAsk,5856400,26
34395854541038,LiftAsk,5856100,18
34395854541038,LiftAsk,5856200,18
34395854541038,LiftAsk,5856300,18
34395854541038,LiftAsk,5856400,27
34395854541038,LiftAsk,5856400,18
34396208100688,LiftAsk,5857400,100
34397101582760,LiftAsk,5857700,18
34397101582760,LiftAsk,5857800,18
34397397803731,LiftAsk,5858000,64
34397398037277,LiftAsk,5858000,136
34397398037277,LiftAsk,5858000,100
34397398187241,LiftAsk,5858200,100
34397398187241,LiftAsk,5858200,64
34397398275544,LiftAsk,5858200,2
34397398401963,LiftAsk,5858200,34
34397402532724,LiftAsk,5858200,100
34397463050079,LiftAsk,5858200,100
34397464013717,LiftAsk,5858500,80
34397464053040,LiftAsk,5858500,20
34397464053040,LiftAsk,5858500,20
34397505169454,LiftAsk,5858800,100
34397508069514,LiftAsk,5858800,100
34397545307128,LiftAsk,5858800,100
34397606625934,LiftAsk,5858800,100
34397614580616,LiftAsk,5858800,100
34397685870820,LiftAsk,5858800,100
34397762281367,HitBid,5858400,14
34397763732399,HitBid,5858300,18
34397765325036,HitBid,5858200,100
34398098326819,LiftAsk,5858000,100
34398803716794,LiftAsk,5859300,59
34399167065378,LiftAsk,5859800,5
34399167065378,LiftAsk,5859900,15
34399175011783,LiftAsk,5859900,18
34399175011783,LiftAsk,5860000,82
34399175117651,LiftAsk,5860000,18
34399175117651,LiftAsk,5860000,120
34399175117651,LiftAsk,5860000,3
34399175117651,LiftAsk,5860000,25
34399175117651,LiftAsk,5860000,18
34399220712885,LiftAsk,5860000,3
34399220712885,LiftAsk,5860000,8
34399220712885,LiftAsk,5860000,20
34399220712885,LiftAsk,5860000,65
34399220712885,LiftAsk,5860000,50
34399220712885,LiftAsk,5860000,10
34399220712885,LiftAsk,5860000,1
34399220712885,LiftAsk,5860000,443
34399250231985,LiftAsk,5860000,26
34399250416745,LiftAsk,5860000,31
34399250416745,LiftAsk,5860000,29
34399266652694,HitBid,5861000,100
34399313709143,HitBid,5861000,100
34399402560959,LiftAsk,5862400,200
34399410042675,LiftAsk,5862800,10
34399517415866,LiftAsk,5862900,200
34399585149731,LiftAsk,5864600,18
34399585149731,LiftAsk,5864700,12
34399585149731,LiftAsk,5864900,70
34399875336049,LiftAsk,5865000,18
34400078653065,LiftAsk,5865300,2
34400078935942,LiftAsk,5865200,18
34400078935942,LiftAsk,5865300,82
34400102289356,HitBid,5864200,75
34400103163143,HitBid,5865000,25
34400133264561,LiftAsk,5865100,85
34400187579737,LiftAsk,5864200,30
34400233192309,LiftAsk,5865100,15
34400295574067,LiftAsk,5865700,4
34400374579670,LiftAsk,5866600,1
34400376331708,LiftAsk,5866600,17
34400380959422,HitBid,5865700,16
34400381062091,HitBid,5865700,34
34400382798032,HitBid,5865300,100
34400864934607,LiftAsk,5866500,18
34400864934607,LiftAsk,5866600,6
34400864934607,LiftAsk,5866800,100
34401782916076,LiftAsk,5866300,16
34402599762498,LiftAsk,5866400,84
34402818956992,LiftAsk,5866400,16
34409324323262,LiftAsk,5867300,2
34409324323262,LiftAsk,5867300,100
34409324650964,LiftAsk,5867300,45
34409324742537,LiftAsk,5867300,21
34409326038656,LiftAsk,5867500,179
34409326080082,LiftAsk,5867500,71
34409327259785,LiftAsk,5867700,200
34409329694266,LiftAsk,5868000,30
34409347796732,HitBid,5867700,100
34410144403116,LiftAsk,5868600,100
34410158448157,LiftAsk,5868800,3
34410638948687,HitBid,5868800,100
34410642229133,LiftAsk,5868800,100
34410642896741,LiftAsk,5868900,77
34410643117308,HitBid,5868900,23
34410644255763,LiftAsk,5868900,77
34410644491826,HitBid,5868900,23
34410644708991,LiftAsk,5868900,77
34410644917457,HitBid,5868900,23
34410645466563,LiftAsk,5868900,77
34410652671106,LiftAsk,5869000,20
34410761325647,HitBid,5869500,3
34411820542604,LiftAsk,5869900,6
34411820542604,LiftAsk,5870000,17
34411820542604,LiftAsk,5870000,40
34411820542604,LiftAsk,5870000,243
34411820542604,LiftAsk,5870000,57
34411820542604,LiftAsk,5870000,50
34411820542604,LiftAsk,5870000,14
34411820542604,LiftAsk,5870000,75
34411820542604,LiftAsk,5870000,98
34411829676215,LiftAsk,5870000,6
34411829676215,LiftAsk,5870000,14
34411927236712,LiftAsk,5870000,3
34411927236712,LiftAsk,5870000,29
34411927236712,LiftAsk,5870000,11
34411927236712,LiftAsk,5870000,59
34411927236712,LiftAsk,5870000,2
34411927236712,LiftAsk,5870000,27
34411927236712,LiftAsk,5870000,5
34411927236712,LiftAsk,5870000,207
34411927236712,LiftAsk,5870000,50
34411927236712,LiftAsk,5870000,14
34411927236712,LiftAsk,5870000,29
34411927236712,LiftAsk,5870000,46
34411927236712,LiftAsk,5870000,150
34411927236712,LiftAsk,5870000,68
34411928192540,LiftAsk,5870000,2
34411928192540,LiftAsk,5870000,2
34411928192540,LiftAsk,5870000,27
